participant_id,vr_advantages,vr_disadvantages,2d_advantages,2d_disadvantages,important_chars_easier,relationships_easier,other_comments
8,centalizing high degree nodes in 3D looks nice,more work required ot navigate and find nodes,easier for finding similar neighbours,,"easier in 2D, high connected nodes are more prominant in 2D, size","in 2D, for 3D it resticted me to do lots of zooming",Gorbag seems lonely
7,Looks awesome! Had a lot of fun,took a bit of time to get to know,"easy to use, übersichtlich",not as awesome and fun,"2D, works quicker and is übersichtlicher","2D, works quicker and is übersichtlicher",
3,"the nodes feel les ""crowded""/lumped together, it is very fun to navigate, it´s easier to see specific connections. the 3rd dimension reveals more information about which characters/groups of characters are closer, over all it looks more clean to me",you cannot use everything at once -> it´s harder to find a specific node without prior knowledge,good first-glance overview -> very easy to find a character just by name,"not so much fun :(, I think it was really ahrd to distinguish the connections as they overlay each other a lot. I also think some meta-info is lost, the clusters form where there is space rather than where they really should be (due to lack of third dimension)","I think it was clear in both, in the 2D one the visual impact of Frodo was very striking and make it clear at first glacnce",VR!! in 2D it was hard to see specific relationshsips as they overlap much more,"liked both, both have intuitive navigation in their own regard, VR one was for me more engaging and make me curious to find patterns in the data and play around some more. I think it could be very cool to explore even more complex dtaa sets, for VR: add easier vertical movement maybe"
1,immersion/ immersive experience,difficult to find shortest path,"ease of use, global overview of data, easier zoom",,"2D, all nodes visible at once without the need to pan around",no difference,
9,"feeling very immersed into the data, nice to walk around","hurts my head, feeling a bit dizzy and disoriented after a while","easy to use, uncomlicated, chill, overview immediatly",,"2D, more straight forward","2D, VR very broad, big space",
2,more funesperience,"felt distracted by the ""3D sensation"" -> spent more time being fascinated by the techniligy then looking at the actual data, had to get used to the mechanics","navigation was much more intuitive, since I´m already familiar with those kinds of graphs (mechanics, basic UI principles that I already know)",it looked like it´s 3D,"actually in VR because they were highlighted very nicely and made sense in 3D, important characters was sligthly easier in 2D (but both pretty easy)","easier in 2D because all nodes are always visible, in VR I had to move in the room in order to see them",
5,more intuitive coordination,not a clear big picture,clearer big picture and more efficient coordination,overlapping connections,"easier in 2D, clear on one sight","easier in 2D, clear on one sight too",:-)
6,"die Verbindungen sind besser dargestellt, die zusammenhänge klarer","unübersichtlich weil man in dne Daten drin steht, schwer sich zurechtzufinden","übersichtlicher, weil die Daten auf einen Blick erfassbar sind",Die Verbindungen und Cluster sind nicht eindeutig/klar sichtbar,"VR, weil durch die 3D-Modellierung die Verbindungen besser sichtbar sind","VR, weil durch di 3D-Modellierung die Verbindungen besser sichtbar sind",
10,für mich gab es keinen Vorteil,"zu unübersichtlich, zu viele Schritte","Alles auf einen Blick, kein scrollen usw.",keine,"eas war in 2D leichter, da es auch visuel sehr gut dargestellt war",es war einfacher in 2D da alles auf einen Blick zu sehen war und es kein verstecktes dahinter gegeben hat,VR kann ich mir gut für Spiele vorstellen. 2D ist für mich besser für die schnelle übersicht
4,to be inside,learning at the beginning,ist aunspruchloser für Benutzer,,2D is easier but not so funny,"VR, bewegung im Raum",Bewegung im Raum mit VR bleibt spannend und man bleibt gern dabei
